                              | PREDICT__________________________________________| 
12/14/2025 23:31:57    909    | -17660.30469    0.01367553137   0.02985834889    | -17660.31836    
12/14/2025 23:31:57    910    | -17660.59766    0.003919029143  0.02930623852    | -17660.59375    
12/14/2025 23:31:57    911    | -17660.26562    0.003919029143  0.03625720739    | -17660.26953    
12/14/2025 23:31:57    912    | -17660.36133    0.01367553137   0.03667128459    | -17660.375      
12/14/2025 23:31:57    913    | -17660.41992    0.02148670144   0.04128751904    | -17660.44141    
12/14/2025 23:31:57    914    | -17660.43555    0.0003162277571 0.03865974396    | -17660.43555    
12/14/2025 23:31:57    915    | -17660.60938    0.0003162277571 0.03294724226    | -17660.60938    
12/14/2025 23:31:57    916    | -17660.45312    0.005867902189  0.02630013973    | -17660.44727    
12/14/2025 23:31:58    917    | -17660.38477    0.01367553137   0.02597671188    | -17660.39844    
12/14/2025 23:31:58    918    | -17660.41016    0.00197855942   0.04285738617    | -17660.41211    
12/14/2025 23:31:58    919    | -17660.40234    0.003919029143  0.03988191485    | -17660.39844    
12/14/2025 23:31:58    920    | -17660.50195    0.00197855942   0.03099039569    | -17660.50391    
12/14/2025 23:31:58    921    | -17660.20898    0.02148670144   0.03433359787    | -17660.23047    
12/14/2025 23:31:58    922    | -17660.35156    0.009770743549  0.02950728498    | -17660.36133    
12/14/2025 23:31:58    923    | -17660.31055    0.01758096926   0.03469031677    | -17660.32812    
12/14/2025 23:31:58    924    | -17660.30859    0.005867902189  0.03157299012    | -17660.31445    
12/14/2025 23:31:58    925    | -17660.33984    0.009770743549  0.03737002239    | -17660.34961    
12/14/2025 23:31:58    926    | -17660.44141    0.005867902189  0.02491666563    | -17660.44727    
12/14/2025 23:31:58    927    | -17660.58008    0.0003162277571 0.02954433486    | -17660.58008    
12/14/2025 23:31:58    928    | -17660.44922    0.02539259382   0.03610510007    | -17660.47461    
12/14/2025 23:31:58    929    | -17660.05859    0.00197855942   0.04171608761    | -17660.05664    
12/14/2025 23:31:58    930    | -17660.4375     0.0003162277571 0.02679220773    | -17660.4375     
12/14/2025 23:31:58    931    | -17660.44727    0.01758096926   0.02831756882    | -17660.46484    
12/14/2025 23:31:58    932    | -17660.41406    0.005867902189  0.02818674594    | -17660.41992    
12/14/2025 23:31:58    933    | -17660.51758    0.007818897255  0.02575926483    | -17660.50977    
12/14/2025 23:31:58    934    | -17660.33203    0.0003162277571 0.03035696596    | -17660.33203    
12/14/2025 23:31:58    935    | -17660.15625    0.003919029143  0.03258330002    | -17660.15234    
12/14/2025 23:31:58    936    | -17660.17578    0.0003162277571 0.02823447809    | -17660.17578    
12/14/2025 23:31:58    937    | -17660.32422    0.009770743549  0.02178648114    | -17660.31445    
12/14/2025 23:31:58    938    | -17660.25195    0.00197855942   0.03061502986    | -17660.25       
12/14/2025 23:31:58    939    | -17660.23633    0.005867902189  0.02743845619    | -17660.23047    
12/14/2025 23:31:58    940    | -17660.52734    0.01172301546   0.02325478755    | -17660.51562    
12/14/2025 23:31:58    941    | -17660.23633    0.01172301546   0.04793955013    | -17660.24805    
12/14/2025 23:31:58    942    | -17660.56836    0.007818897255  0.03271493316    | -17660.56055    
12/14/2025 23:31:58    943    | -17660.75391    0.01367553137   0.02101422474    | -17660.76758    
12/14/2025 23:31:58    944    | -17660.35938    0.02343963273   0.02580441535    | -17660.38281    
12/14/2025 23:31:58    945    | -17660.35547    0.02539259382   0.03019222431    | -17660.38086    
12/14/2025 23:31:58    946    | -17660.36328    0.009770743549  0.03462979943    | -17660.35352    
12/14/2025 23:31:59    947    | -17660.32031    0.0003162277571 0.03365141153    | -17660.32031    
12/14/2025 23:31:59    948    | -17660.31641    0.007818897255  0.02945623361    | -17660.30859    
12/14/2025 23:31:59    949    | -17660.2793     0.00197855942   0.02774010599    | -17660.28125    
12/14/2025 23:31:59    950    | -17660.17383    0.01758096926   0.02676947787    | -17660.19141    
12/14/2025 23:31:59    951    | -17660.60156    0.00197855942   0.02220737748    | -17660.60352    
12/14/2025 23:31:59    952    | -17660.48633    0.007818897255  0.03802145645    | -17660.49414    
12/14/2025 23:31:59    953    | -17660.38477    0.01562820002   0.02460861765    | -17660.40039    
12/14/2025 23:31:59    954    | -17660.36328    0.007818897255  0.02989417873    | -17660.37109    
12/14/2025 23:31:59    955    | -17660.14844    0.01172301546   0.03879714757    | -17660.13672    
12/14/2025 23:31:59    956    | -17660.39844    0.01953380927   0.02328554168    | -17660.37891    
12/14/2025 23:31:59    957    | -17660.34961    0.003919029143  0.03089904413    | -17660.35352    
12/14/2025 23:31:59    958    | -17660.4082     0.005867902189  0.03124036081    | -17660.40234    
12/14/2025 23:31:59    959    | -17660.46289    0.01953380927   0.02634305507    | -17660.44336    
12/14/2025 23:31:59    960    | -17660.29492    0.01953380927   0.03561622277    | -17660.27539    
12/14/2025 23:31:59    961    | -17660.08203    0.005867902189  0.03907515109    | -17660.07617    
12/14/2025 23:31:59    962    | -17660.25391    0.01953380927   0.03918013349    | -17660.23438    
12/14/2025 23:31:59    963    | -17660.3125     0.00197855942   0.0287809521     | -17660.31055    
12/14/2025 23:31:59    964    | -17660.16016    0.00197855942   0.03953303397    | -17660.1582     
12/14/2025 23:31:59    965    | -17659.97852    0.01172301546   0.04490603134    | -17659.9668     
12/14/2025 23:31:59    966    | -17660.52734    0.01172301546   0.03479652479    | -17660.51562    
12/14/2025 23:31:59    967    | -17660.48633    0.003919029143  0.03821577504    | -17660.49023    
12/14/2025 23:31:59    968    | -17660.3457     0.0003162277571 0.03381380439    | -17660.3457     
12/14/2025 23:31:59    969    | -17660.35742    0.01172301546   0.03754363582    | -17660.3457     
12/14/2025 23:31:59    970    | -17660.55664    0.01367553137   0.02954677492    | -17660.54297    
12/14/2025 23:31:59    971    | -17660.11719    0.00197855942   0.04381199181    | -17660.11523    
12/14/2025 23:31:59    972    | -17660.49805    0.02148670144   0.03054136783    | -17660.47656    
12/14/2025 23:31:59    973    | -17660.4082     0.01953380927   0.02838251553    | -17660.38867    
12/14/2025 23:31:59    974    | -17660.50781    0.005867902189  0.02388246357    | -17660.50195    
12/14/2025 23:31:59    975    | -17660.33984    0.0003162277571 0.02668144926    | -17660.33984    
12/14/2025 23:31:59    976    | -17660.45703    0.005867902189  0.02888859436    | -17660.46289    
12/14/2025 23:32:00    977    | -17660.56836    0.007818897255  0.02365499735    | -17660.56055    
12/14/2025 23:32:00    978    | -17660.44531    0.007818897255  0.03054290451    | -17660.4375     
12/14/2025 23:32:00    979    | -17660.30273    0.02343963273   0.0444711633     | -17660.2793     
12/14/2025 23:32:00    980    | -17660.30664    0.01172301546   0.06210529432    | -17660.31836    
12/14/2025 23:32:00    981    | -17660.33594    0.02929858118   0.03516564891    | -17660.30664    
12/14/2025 23:32:00    982    | -17660.51367    0.01172301546   0.03329980373    | -17660.50195    
12/14/2025 23:32:00    983    | -17660.2832     0.009770743549  0.03904671222    | -17660.29297    
12/14/2025 23:32:00    984    | -17660.16016    0.00197855942   0.03247403726    | -17660.16211    
12/14/2025 23:32:00    985    | -17660.22461    0.02343963273   0.0444935821     | -17660.24805    
12/14/2025 23:32:00    986    | -17660.54883    0.007818897255  0.03065576777    | -17660.54102    
12/14/2025 23:32:00    987    | -17660.60938    0.00197855942   0.0391792357     | -17660.60742    
12/14/2025 23:32:00    988    | -17660.41406    0.01367553137   0.03039347008    | -17660.42773    
12/14/2025 23:32:00    989    | -17660.51562    0.005867902189  0.02513678186    | -17660.52148    
12/14/2025 23:32:00    990    | -17660.5918     0.009770743549  0.0206676051     | -17660.60156    
12/14/2025 23:32:00    991    | -17660.52344    0.007818897255  0.03497187048    | -17660.53125    
12/14/2025 23:32:00    992    | -17660.67969    0.009770743549  0.02453545295    | -17660.68945    
12/14/2025 23:32:00    993    | -17660.55664    0.0003162277571 0.02988482825    | -17660.55664    
12/14/2025 23:32:00    994    | -17660.45703    0.007818897255  0.02581656352    | -17660.46484    
12/14/2025 23:32:00    995    | -17660.59961    0.007818897255  0.0257982742     | -17660.60742    
12/14/2025 23:32:00    996    | -17660.53711    0.00197855942   0.02465298027    | -17660.53906    
12/14/2025 23:32:00    997    | -17660.36914    0.02148670144   0.02788758092    | -17660.34766    
12/14/2025 23:32:00    998    | -17660.57031    0.00197855942   0.02946032211    | -17660.56836    
12/14/2025 23:32:00    999    | -17660.42773    0.00197855942   0.02753985673    | -17660.42578    
12/14/2025 23:32:00    1000   | -17660.54297    0.009770743549  0.02153114602    | -17660.5332     
12/14/2025 23:32:00    1001   | -17660.39844    0.01758096926   0.0378023535     | -17660.41602    
12/14/2025 23:32:00    1002   | -17660.36719    0.00197855942   0.02585637011    | -17660.36523    
12/14/2025 23:32:00    1003   | -17660.54492    0.009770743549  0.02315128967    | -17660.55469    
12/14/2025 23:32:01    1004   | -17660.50977    0.007818897255  0.03035304323    | -17660.50195    
12/14/2025 23:32:01    1005   | -17660.59961    0.00197855942   0.03006858006    | -17660.60156    
12/14/2025 23:32:01    1006   | -17660.55859    0.005867902189  0.0254867468     | -17660.55273    
12/14/2025 23:32:01    1007   | -17660.57812    0.01562820002   0.03238108754    | -17660.5625     
12/14/2025 23:32:01    1008   | -17660.45898    0.01172301546   0.02955873497    | -17660.44727    
12/14/2025 23:32:01    1009   | -17660.49414    0.01367553137   0.02978559397    | -17660.48047    
12/14/2025 23:32:01    1010   | -17660.67773    0.01367553137   0.02529213391    | -17660.66406    
12/14/2025 23:32:01    1011   | -17660.50195    0.003919029143  0.02714320458    | -17660.50586    
12/14/2025 23:32:01    1012   | -17660.42188    0.02343963273   0.03070775233    | -17660.39844    
12/14/2025 23:32:01    1013   | -17660.62109    0.007818897255  0.02767786756    | -17660.61328    
12/14/2025 23:32:01    1014   | -17660.52344    0.007818897255  0.02048949525    | -17660.51562    
12/14/2025 23:32:01    1015   | -17660.54883    0.007818897255  0.02629227005    | -17660.54102    
12/14/2025 23:32:01    1016   | -17660.60547    0.003919029143  0.02862989716    | -17660.60938    
12/14/2025 23:32:01    1017   | -17660.57812    0.00197855942   0.02574016899    | -17660.58008    
12/14/2025 23:32:01    1018   | -17660.33789    0.009770743549  0.03554023057    | -17660.32812    
12/14/2025 23:32:01    1019   | -17660.00195    0.01953380927   0.03482059762    | -17660.02148    
12/14/2025 23:32:01    1020   | -17660.67383    0.007818897255  0.02101830952    | -17660.66602    
12/14/2025 23:32:01    1021   | -17660.26367    0.009770743549  0.02521554567    | -17660.27344    
12/14/2025 23:32:01    1022   | -17660.18359    0.01367553137   0.03104234114    | -17660.19727    
12/14/2025 23:32:01    1023   | -17660.45312    0.007818897255  0.02267492563    | -17660.46094    
12/14/2025 23:32:01    1024   | -17660.59961    0.009770743549  0.02168603428    | -17660.60938    
12/14/2025 23:32:01    1025   | -17660.38477    0.0390637815    0.04357529804    | -17660.42383    
12/14/2025 23:32:01    1026   | -17660.68945    0.01758096926   0.02857342735    | -17660.70703    
12/14/2025 23:32:01    1027   | -17660.15039    0.02539259382   0.04593680426    | -17660.17578    
12/14/2025 23:32:01    1028   | -17660.44336    0.01367553137   0.02768284269    | -17660.45703    
12/14/2025 23:32:01    1029   | -17660.7168     0.01953380927   0.022280192      | -17660.73633    
12/14/2025 23:32:01    1030   | -17660.58008    0.03320463002   0.0303507112     | -17660.61328    
12/14/2025 23:32:01    1031   | -17660.40234    0.03125159815   0.02816132456    | -17660.43359    
12/14/2025 23:32:01    1032   | -17660.64648    0.005867902189  0.02534871735    | -17660.65234    
12/14/2025 23:32:01    1033   | -17660.78125    0.02343963273   0.03432099894    | -17660.80469    
12/14/2025 23:32:02    1034   | -17660.63477    0.02539259382   0.02705331333    | -17660.66016    
12/14/2025 23:32:02    1035   | -17660.33398    0.04296991229   0.04017433524    | -17660.37695    
12/14/2025 23:32:02    1036   | -17660.35547    0.01562820002   0.0271389056     | -17660.37109    
12/14/2025 23:32:02    1037   | -17660.39062    0.01758096926   0.03194035962    | -17660.4082     
12/14/2025 23:32:02    1038   | -17660.24805    0.01562820002   0.03147890791    | -17660.26367    
12/14/2025 23:32:02    1039   | -17660.77539    0.009770743549  0.0259814132     | -17660.78516    
12/14/2025 23:32:02    1040   | -17659.86523    0.003919029143  0.04038795084    | -17659.86914    
12/14/2025 23:32:02    1041   | -17660.07227    0.005867902189  0.03987440094    | -17660.07812    
12/14/2025 23:32:02    1042   | -17660.3457     0.02148670144   0.02418842725    | -17660.32422    
12/14/2025 23:32:02    1043   | -17660.32617    0.02929858118   0.02376499027    | -17660.29688    
12/14/2025 23:32:02    1044   | -17660.46289    0.005867902189  0.03578906134    | -17660.46875    
12/14/2025 23:32:02    1045   | -17660.53711    0.003919029143  0.0291351825     | -17660.5332     
12/14/2025 23:32:02    1046   | -17660.26953    0.01562820002   0.03157266602    | -17660.25391    
12/14/2025 23:32:02    1047   | -17660.29102    0.02539259382   0.03082842194    | -17660.26562    
12/14/2025 23:32:02    1048   | -17660.52539    0.003919029143  0.02189465053    | -17660.52148    
12/14/2025 23:32:02    1049   | -17660.64844    0.007818897255  0.03070187569    | -17660.64062    
12/14/2025 23:32:02    1050   | -17660.38867    0.005867902189  0.03610219061    | -17660.39453    
12/14/2025 23:32:02    1051   | -17660.55469    0.01758096926   0.02986107953    | -17660.53711    
12/14/2025 23:32:02    1052   | -17660.5625     0.007818897255  0.04745842144    | -17660.57031    
12/14/2025 23:32:02    1053   | -17660.33203    0.0003162277571 0.03633379564    | -17660.33203    
12/14/2025 23:32:02    1054   | -17660.46484    0.005867902189  0.0293042101     | -17660.4707     
12/14/2025 23:32:02    1055   | -17660.2832     0.00197855942   0.02428779192    | -17660.28516    
12/14/2025 23:32:02    1056   | -17660.14453    0.01172301546   0.0483366251     | -17660.13281    
12/14/2025 23:32:02    1057   | -17660.6582     0.005867902189  0.0314316228     | -17660.65234    
12/14/2025 23:32:02    1058   | -17660.38086    0.01172301546   0.02650156058    | -17660.36914    
12/14/2025 23:32:02    1059   | -17660.57812    0.00197855942   0.02468685247    | -17660.57617    
12/14/2025 23:32:02    1060   | -17660.58984    0.009770743549  0.0317770727     | -17660.58008    
12/14/2025 23:32:02    1061   | -17660.37109    0.00197855942   0.02509665675    | -17660.36914    
12/14/2025 23:32:02    1062   | -17660.03711    0.009770743549  0.04624379054    | -17660.02734    
12/14/2025 23:32:02    1063   | -17660.46094    0.007818897255  0.03036670573    | -17660.45312    
12/14/2025 23:32:02    1064   | -17660.5332     0.005867902189  0.02781879529    | -17660.52734    
12/14/2025 23:32:03    1065   | -17660.2793     0.02148670144   0.03423077986    | -17660.25781    
12/14/2025 23:32:03    1066   | -17660.61523    0.00197855942   0.02160909213    | -17660.61719    
12/14/2025 23:32:03    1067   | -17660.23828    0.01758096926   0.03184966743    | -17660.2207     
12/14/2025 23:32:03    1068   | -17660.29688    0.02539259382   0.04995585978    | -17660.27148    
12/14/2025 23:32:03    1069   | -17660.57617    0.005867902189  0.03413269296    | -17660.58203    
12/14/2025 23:32:03    1070   | -17660.48242    0.003919029143  0.03928911686    | -17660.48633    
12/14/2025 23:32:03    1071   | -17660.60938    0.003919029143  0.02803086862    | -17660.61328    
12/14/2025 23:32:03    1072   | -17660.29492    0.009770743549  0.04339166731    | -17660.30469    
12/14/2025 23:32:03    1073   | -17660.57227    0.003919029143  0.023307411      | -17660.57617    
12/14/2025 23:32:03    1074   | -17660.56641    0.01758096926   0.02774785832    | -17660.58398    
12/14/2025 23:32:03    1075   | -17660.61133    0.005867902189  0.02724971063    | -17660.60547    
12/14/2025 23:32:03    1076   | -17660.49023    0.00197855942   0.03525773436    | -17660.49219    
12/14/2025 23:32:03    1077   | -17660.43945    0.02734557912   0.03418025374    | -17660.4668     
12/14/2025 23:32:03    1078   | -17660.3125     0.005867902189  0.0304939393     | -17660.31836    
12/14/2025 23:32:03    1079   | -17660.43945    0.01172301546   0.01942327805    | -17660.42773    
12/14/2025 23:32:03    1080   | -17660.32812    0.01758096926   0.024089057      | -17660.31055    
12/14/2025 23:32:03    1081   | -17660.82812    0.01367553137   0.02224637195    | -17660.81445    
12/14/2025 23:32:03    1082   | -17660.25781    0.02148670144   0.02833044156    | -17660.23633    
12/14/2025 23:32:03    1083   | -17660.10938    0.00197855942   0.03537976742    | -17660.10742    
12/14/2025 23:32:03    1084   | -17660.32227    0.003919029143  0.03328539804    | -17660.32617    
12/14/2025 23:32:03    1085   | -17660.62305    0.00197855942   0.02437187545    | -17660.62109    
12/14/2025 23:32:03    1086   | -17660.45898    0.02343963273   0.02584973164    | -17660.43555    
12/14/2025 23:32:03    1087   | -17660.33008    0.02929858118   0.03039133921    | -17660.30078    
12/14/2025 23:32:03    1088   | -17660.33789    0.02148670144   0.0243644733     | -17660.31641    
12/14/2025 23:32:03    1089   | -17660.26953    0.03515767306   0.04469422624    | -17660.23438    
12/14/2025 23:32:03    1090   | -17660.22656    0.02929858118   0.02996102534    | -17660.19727    
12/14/2025 23:32:03    1091   | -17660.70312    0.01953380927   0.02618067153    | -17660.68359    
12/14/2025 23:32:03    1092   | -17660.71289    0.007818897255  0.0266373232     | -17660.70508    
12/14/2025 23:32:03    1093   | -17660.64844    0.01953380927   0.02511389181    | -17660.62891    
12/14/2025 23:32:03    1094   | -17660.63867    0.01562820002   0.02430880256    | -17660.62305    
12/14/2025 23:32:04    1095   | -17660.17188    0.005867902189  0.03667018935    | -17660.16602    
12/14/2025 23:32:04    1096   | -17660.38672    0.00197855942   0.03982802108    | -17660.38867    
12/14/2025 23:32:04    1097   | -17660.5332     0.01367553137   0.03181976452    | -17660.54688    
12/14/2025 23:32:04    1098   | -17660.22656    0.01562820002   0.02956310846    | -17660.24219    
12/14/2025 23:32:04    1099   | -17660.375      0.04296991229   0.03932743892    | -17660.41797    
12/14/2025 23:32:04    1100   | -17660.37695    0.03125159815   0.03157733753    | -17660.4082     
12/14/2025 23:32:04    1101   | -17660.55469    0.007818897255  0.0255801864     | -17660.54688    
12/14/2025 23:32:04    1102   | -17660.36914    0.01562820002   0.0279314965     | -17660.38477    
12/14/2025 23:32:04    1103   | -17660.67383    0.009770743549  0.02245918289    | -17660.68359    
12/14/2025 23:32:04    1104   | -17660.625      0.00197855942   0.02190983854    | -17660.62695    
12/14/2025 23:32:04    1105   | -17660.71484    0.01172301546   0.03109389357    | -17660.70312    
12/14/2025 23:32:04    1106   | -17660.52539    0.005867902189  0.02092617005    | -17660.51953    
12/14/2025 23:32:04    1107   | -17660.32227    0.003919029143  0.02848341502    | -17660.31836    
12/14/2025 23:32:04    1108   | -17660.59766    0.01758096926   0.0286569912     | -17660.58008    
12/14/2025 23:32:04    1109   | -17660.72852    0.01367553137   0.02874809131    | -17660.71484    
12/14/2025 23:32:04    1110   | -17660.44141    0.007818897255  0.0257138107     | -17660.43359    
12/14/2025 23:32:04    1111   | -17660.51172    0.02734557912   0.03064898774    | -17660.48438    
12/14/2025 23:32:04    1112   | -17660.66016    0.00197855942   0.02174402028    | -17660.6582     
12/14/2025 23:32:04    1113   | -17660.38672    0.005867902189  0.02126730233    | -17660.39258    
12/14/2025 23:32:04    1114   | -17660.46875    0.01562820002   0.02473944612    | -17660.45312    
12/14/2025 23:32:04    1115   | -17660.34766    0.007818897255  0.02686010487    | -17660.33984    
12/14/2025 23:32:04    1116   | -17660.37109    0.005867902189  0.02641484886    | -17660.36523    
12/14/2025 23:32:04    1117   | -17660.51562    0.00197855942   0.02507201955    | -17660.51367    
12/14/2025 23:32:04    1118   | -17660.50391    0.005867902189  0.0279901959     | -17660.49805    
12/14/2025 23:32:04    1119   | -17660.00391    0.003919029143  0.03538994491    | -17660.00781    
12/14/2025 23:32:04    1120   | -17660.39453    0.00197855942   0.02865549549    | -17660.39258    
12/14/2025 23:32:04    1121   | -17660.48438    0.00197855942   0.02789049596    | -17660.48242    
12/14/2025 23:32:04    1122   | -17660.55664    0.00197855942   0.02620789222    | -17660.55469    
12/14/2025 23:32:05    1123   | -17660.24414    0.02539259382   0.03540432826    | -17660.21875    
12/14/2025 23:32:05    1124   | -17660.60547    0.02148670144   0.03138142079    | -17660.58398    
12/14/2025 23:32:05    1125   | -17660.43555    0.02539259382   0.02748614736    | -17660.41016    
12/14/2025 23:32:05    1126   | -17660.30469    0.009770743549  0.03282264248    | -17660.29492    
12/14/2025 23:32:05    1127   | -17660.64062    0.003919029143  0.02480549179    | -17660.63672    
12/14/2025 23:32:05    1128   | -17660.47461    0.01953380927   0.03515022993    | -17660.45508    
12/14/2025 23:32:05    1129   | -17660.51758    0.003919029143  0.02112178691    | -17660.51367    
12/14/2025 23:32:05    1130   | -17660.54883    0.01953380927   0.03076447174    | -17660.5293     
12/14/2025 23:32:05    1131   | -17660.54688    0.01562820002   0.02608140558    | -17660.53125    
12/14/2025 23:32:05    1132   | -17660.43164    0.009770743549  0.02300538681    | -17660.42188    
12/14/2025 23:32:05    1133   | -17660.29492    0.01758096926   0.03171028569    | -17660.27734    
12/14/2025 23:32:05    1134   | -17660.5625     0.01367553137   0.02260338329    | -17660.54883    
12/14/2025 23:32:05    1135   | -17660.75781    0.003919029143  0.02003445104    | -17660.75391    
12/14/2025 23:32:05    1136   | -17660.22656    0.003919029143  0.03185081109    | -17660.22266    
12/14/2025 23:32:05    1137   | -17660.51367    0.005867902189  0.02716613002    | -17660.50781    
12/14/2025 23:32:05    1138   | -17660.52734    0.0003162277571 0.02154757828    | -17660.52734    
12/14/2025 23:32:05    1139   | -17660.45508    0.0003162277571 0.02447751909    | -17660.45508    
12/14/2025 23:32:05    1140   | -17660.51953    0.005867902189  0.02404006571    | -17660.51367    
12/14/2025 23:32:05    1141   | -17660.40234    0.02343963273   0.02591086738    | -17660.37891    
12/14/2025 23:32:05    1142   | -17660.52734    0.009770743549  0.02302010916    | -17660.53711    
12/14/2025 23:32:05    1143   | -17660.33203    0.007818897255  0.04084163159    | -17660.32422    
12/14/2025 23:32:05    1144   | -17660.02539    0.02148670144   0.03552056104    | -17660.00391    
12/14/2025 23:32:05    1145   | -17660.55078    0.00197855942   0.02140109241    | -17660.55273    
12/14/2025 23:32:05    1146   | -17660.28516    0.003919029143  0.02504482679    | -17660.28125    
12/14/2025 23:32:05    1147   | -17660.34961    0.0003162277571 0.03482265025    | -17660.34961    
12/14/2025 23:32:05    1148   | -17660.65234    0.007818897255  0.01887106337    | -17660.64453    
12/14/2025 23:32:05    1149   | -17660.5        0.003919029143  0.02245142311    | -17660.50391    
12/14/2025 23:32:05    1150   | -17660.33594    0.005867902189  0.02472206205    | -17660.3418     
12/14/2025 23:32:05    1151   | -17660.49414    0.005867902189  0.02442482486    | -17660.48828    
12/14/2025 23:32:06    1152   | -17660.28906    0.02734557912   0.02464042976    | -17660.31641    
12/14/2025 23:32:06    1153   | -17660.55469    0.00197855942   0.02719104849    | -17660.55273    
12/14/2025 23:32:06    1154   | -17660.36328    0.005867902189  0.0386428237     | -17660.36914    
12/14/2025 23:32:06    1155   | -17660.70508    0.003919029143  0.02395308018    | -17660.70117    
12/14/2025 23:32:06    1156   | -17660.56445    0.01172301546   0.01918396167    | -17660.57617    
12/14/2025 23:32:06    1157   | -17660.67188    0.00197855942   0.02369919792    | -17660.67383    
12/14/2025 23:32:06    1158   | -17660.67383    0.003919029143  0.01942645386    | -17660.66992    
12/14/2025 23:32:06    1159   | -17660.58984    0.01172301546   0.02585068159    | -17660.60156    
12/14/2025 23:32:06    1160   | -17660.58398    0.0003162277571 0.02209898457    | -17660.58398    
12/14/2025 23:32:06    1161   | -17660.60156    0.007818897255  0.02108256333    | -17660.60938    
12/14/2025 23:32:06    1162   | -17660.56836    0.005867902189  0.02965695038    | -17660.57422    
12/14/2025 23:32:06    1163   | -17660.24805    0.00197855942   0.02741775289    | -17660.24609    
12/14/2025 23:32:06    1164   | -17660.52344    0.0003162277571 0.02638932504    | -17660.52344    
12/14/2025 23:32:06    1165   | -17660.23047    0.00197855942   0.02920142747    | -17660.22852    
12/14/2025 23:32:06    1166   | -17660.51562    0.01562820002   0.02305944264    | -17660.5        
12/14/2025 23:32:06    1167   | -17660.44141    0.01172301546   0.0301830098     | -17660.42969    
12/14/2025 23:32:06    1168   | -17660.33203    0.007818897255  0.02493669279    | -17660.33984    
12/14/2025 23:32:06    1169   | -17660.67578    0.0003162277571 0.01940620132    | -17660.67578    
12/14/2025 23:32:06    1170   | -17660.58008    0.01367553137   0.02900702693    | -17660.56641    
12/14/2025 23:32:06    1171   | -17660.22461    0.01758096926   0.03658920899    | -17660.20703    
12/14/2025 23:32:06    1172   | -17660.33984    0.007818897255  0.03149953857    | -17660.33203    
12/14/2025 23:32:06    1173   | -17660.34766    0.003919029143  0.02381747402    | -17660.34375    
12/14/2025 23:32:06    1174   | -17660.23438    0.01953380927   0.03188644722    | -17660.21484    
12/14/2025 23:32:06    1175   | -17660.39062    0.00197855942   0.02444322966    | -17660.38867    
12/14/2025 23:32:06    1176   | -17660.60156    0.02148670144   0.03171081841    | -17660.58008    
12/14/2025 23:32:06    1177   | -17660.37109    0.01562820002   0.02877352573    | -17660.35547    
12/14/2025 23:32:06    1178   | -17660.52148    0.02539259382   0.02831598744    | -17660.49609    
12/14/2025 23:32:06    1179   | -17660.35742    0.009770743549  0.02862612344    | -17660.34766    
12/14/2025 23:32:06    1180   | -17660.51758    0.02539259382   0.0373019278     | -17660.49219    
12/14/2025 23:32:06    1181   | -17660.46094    0.02929858118   0.02572914585    | -17660.43164    
12/14/2025 23:32:06    1182   | -17660.13477    0.04101684317   0.02665504254    | -17660.09375    
12/14/2025 23:32:07    1183   | -17660.25977    0.02148670144   0.02737302147    | -17660.23828    
12/14/2025 23:32:07    1184   | -17660.63867    0.00197855942   0.01994782314    | -17660.64062    
12/14/2025 23:32:07    1185   | -17660.51953    0.02343963273   0.03100243211    | -17660.49609    
12/14/2025 23:32:07    1186   | -17660.34766    0.005867902189  0.02898074873    | -17660.3418     
12/14/2025 23:32:07    1187   | -17660.5293     0.01367553137   0.01807158627    | -17660.51562    
12/14/2025 23:32:07    1188   | -17660.66406    0.009770743549  0.02362889796    | -17660.6543     
12/14/2025 23:32:07    1189   | -17660.64648    0.01367553137   0.02820774168    | -17660.63281    
12/14/2025 23:32:07    1190   | -17660.50781    0.009770743549  0.02216692641    | -17660.49805    
12/14/2025 23:32:07    1191   | -17660.33984    0.0003162277571 0.03875937685    | -17660.33984    
12/14/2025 23:32:07    1192   | -17660.74805    0.007818897255  0.02108679712    | -17660.74023    
12/14/2025 23:32:07    1193   | -17660.55469    0.007818897255  0.0209858343     | -17660.54688    
12/14/2025 23:32:07    1194   | -17660.05469    0.003919029143  0.03669761494    | -17660.05859    
12/14/2025 23:32:07    1195   | -17660.30273    0.01172301546   0.03337867931    | -17660.29102    
12/14/2025 23:32:07    1196   | -17660.25586    0.003919029143  0.02630452253    | -17660.25195    
12/14/2025 23:32:07    1197   | -17660.52734    0.007818897255  0.02313838713    | -17660.51953    
12/14/2025 23:32:07    1198   | -17660.54688    0.01172301546   0.02757061459    | -17660.53516    
12/14/2025 23:32:07    1199   | -17660.41016    0.007818897255  0.03972594067    | -17660.41797    
12/14/2025 23:32:07    1200   | -17660.44336    0.009770743549  0.02795480937    | -17660.43359    
12/14/2025 23:32:07    1201   | -17660.72461    0.003919029143  0.02823228948    | -17660.7207     
12/14/2025 23:32:07    1202   | -17660.55078    0.0003162277571 0.0197778251     | -17660.55078    
12/14/2025 23:32:07    1203   | -17660.68555    0.00197855942   0.01888101362    | -17660.68359    
12/14/2025 23:32:07    1204   | -17660.59961    0.007818897255  0.02468827181    | -17660.60742    
12/14/2025 23:32:07    1205   | -17660.40039    0.0003162277571 0.02568826079    | -17660.40039    
12/14/2025 23:32:07    1206   | -17660.56641    0.01172301546   0.02338864841    | -17660.57812    
12/14/2025 23:32:07    1207   | -17660.43555    0.01172301546   0.02840205468    | -17660.44727    
